# The input file consist of first coloumn and gene name(HGNC official symbol) and second coloumn onward contains the patient RSEM, which means each coloumn contains the RSEM values of 62 genes of each patient.
#Gene Name,Patient-1 RSEM,Patient-2 RSEM,Patient-3 RSEM,Patient-4 RSEM
ACAA2,6186.9962,11523.1574,8859.8964,612.4780,1972.8664,2536.4335
NR3C2,281.0275,187.7212,210.5869,61.0721,36.5280,198.4621
GSDMB,60.8475,22.1573,64.1542,702.9877,50.7136,280.8495
FREM1,50.1835,12.7712,22.1519,7.4692,185.4771,5.8587
FUT10,82.8027,118.0182,128.8838,117.3111,129.0892,102.5265
OASL,129.8498,93.3990,121.1162,166.9596,227.3247,495.4229
LOC285733,6.9002,32.4665,20.4258,1.3181,0.7093,72.5009
PRDM8,27.6009,6.0009,12.3705,78.2074,85.1138,199.9268
ZC3H7B,2807.1386,3002.7697,2789.4131,7543.0580,2672.2180,3231.7832
EI24,1829.1880,2138.4828,2272.1519,2104.1301,2559.7969,1703.4053
EHD1,2415.7074,2662.4096,2166.5708,2289.9824,1339.4781,3500.5492
OST4,2992.0710,2240.4832,1869.0967,3207.2891,4725.5808,1720.2417
PDIA2,4.3911,0.0000,0.2877,5.4965,1.4186,0.3662
NCKAP5,69.6296,222.4958,184.6951,27.2408,28.7259,46.5031
FOXD4,36.3830,23.0805,12.3705,16.6960,5.3196,27.8286
NGLY1,428.4415,340.3601,463.4638,532.0738,724.8857,399.1212
MUC20,2154.1260,1668.4105,716.0529,228.4710,9.5753,428.7807
ABCC1,1118.4644,1000.1539,1565.5926,2104.5694,847.9460,2217.5027
IL2,0.0000,0.1539,0.0000,0.0000,0.7093,1.4647
ZNF496,299.2190,306.2010,270.7135,206.5026,190.7967,366.5324
CCND1,36263.0430,46980.2539,15135.0690,6887.7065,2030.3572,12083.2772
ARL3,993.0057,677.7966,749.4246,752.6362,848.3007,400.5859
C12orf26,122.9495,149.5615,110.7595,69.4200,47.5219,84.5844
CENPBD1,223.9438,156.4856,165.4200,117.7504,116.3222,260.3442
LOC653113,103.5034,33.3898,31.6456,41.3005,27.6620,35.8843
NES,3253.1443,2189.2599,2087.4568,587.8735,8206.3867,2669.3519
FABP7,12712.7309,19029.5430,3.4522,9351.0545,3.1918,3952.0322
CCBL2,533.7892,412.7281,471.6657,351.4411,498.3518,493.2442
ENOPH1,730.7970,954.7623,884.6375,938.0492,912.8453,675.2105
SUSD1,264.7179,294.8146,389.5282,265.8172,333.0077,287.8067
CTSG,1.8819,7.0780,32.5086,0.4394,2.8371,17.9421
ADM,5729.0719,3861.3633,5363.9241,8483.7434,10412.6068,1977.6639
AGBL1,0.0000,0.0000,0.5754,0.8787,0.3546,0.0000
ANO4,242.7626,407.7550,213.1761,3.9543,208.5288,37.3490
TUBA3E,1.8819,2.3080,2.3015,6.1511,1.0639,12.0835
ASAH2,3.1365,9.8477,13.8090,1.3181,4.9650,5.8587
CLN8,775.9621,404.0622,963.4638,289.5431,327.6880,604.1743
ATP4A,0.0000,0.0000,0.0000,0.4394,0.0000,0.0000
VPREB3,4.3911,2.7697,3.4522,3.9543,1.0639,3.2955
LOC340094,0.0000,0.0000,0.2877,0.0000,0.0000,0.0000
CLEC3B,4512.1224,1116.3256,891.2543,45.6942,105.6829,1496.8876
GLS2,134.8681,45.2377,45.1669,49.6485,4.2557,14.6466
LGI1,1.8819,0.4616,0.2877,0.0000,1.4186,2.5632
RASGEF1B,111.6583,111.2479,242.8078,150.7030,69.1549,219.3336
DNAJC28,24.4644,26.7733,23.8780,13.6204,6.0289,31.4903
KIAA0652,1679.8921,1848.5921,1434.4074,1626.5378,2442.0561,2154.1560
HBG1,9.4094,10.7709,2.0138,0.0000,6.0289,1.0985
PPIAL4G,20.7007,24.4653,17.5489,33.8313,21.6331,30.3918
GSC,1.2546,1.6926,6.6168,7.9086,89.7241,8.4218
LOC100289341,92.2122,106.4779,70.7710,97.9789,50.0043,64.0791
LOC441046,16.9369,16.9257,14.3843,23.2865,4.9650,14.6466
SLC7A13,138.6319,0.6155,0.5754,0.4394,0.0000,5.4925
EYA1,1.8819,0.0000,16.9735,9.2267,130.5078,1.4647
LOC100132354,1.8819,0.7693,0.5754,5.7118,2.8371,3.6617
INTS8,439.1745,509.1014,576.3608,1187.2364,909.2350,634.9323
C22orf23,61.4748,22.4650,27.9056,222.7592,22.3424,43.5738
ZNF830,424.6777,212.9558,377.7330,286.4675,346.1294,321.4940
CDH9,38.8922,14.6176,3.7399,0.0000,1.4186,2.1970
YAF2,338.7385,404.6776,516.6858,384.8858,489.4042,233.2479
ADAMTS16,67.7477,79.0891,56.9620,207.3814,192.5699,6.5910
LRRC25,366.3394,204.9546,136.9390,70.2988,673.8174,511.5342
SLC9A11,0.0000,0.0000,0.0000,200.3515,1.0639,3.2955
