# The input file consist of first coloumn and gene name(HGNC official symbol) and second coloumn onward contains the patient RSEM, which means each coloumn contains the RSEM values of 62 genes of each patient.
#Gene Name,Patient-1 RSEM,Patient-2 RSEM,Patient-3 RSEM,Patient-4 RSEM
NR3C2,281.0275,187.7212,210.5869,61.0721,36.5280,198.4621
C1orf69,387.0401,298.1997,287.9747,102.3726,112.4211,258.1472
BMP5,25.0917,0.0000,54.6605,0.0000,124.4789,0.0000
DNASE1L3,281.6548,49.8538,180.3797,0.8787,7.0928,110.2160
NBEA,237.7443,362.0557,262.6582,107.6450,114.1943,284.5112
PLEKHA9,35.7557,30.1585,35.3855,155.5360,97.1716,93.7386
IRF7,668.6949,113.7098,401.3234,1416.0808,318.1127,998.5353
TMEM214,3000.3450,3678.1043,2135.2129,3826.4499,6083.5073,2711.8272
PITX1,0.6273,0.0000,0.8631,520.2109,117.7407,240.2051
PLA2G2A,3.7638,0.6155,0.5754,16.6960,17.7320,5.8587
